index;header;desc;content;url;time;time_interval;level
1;3 Dakika 10 Saniyede Zinde Kalma Teknikleri;Bora Can Gökçe tarafından hazırlanan bu videoda, evde kaldığımız bu dönemde hareketlerimizin de azalması nedeniyle hissedeceğimiz tembellik ve de halsizlik duygusunu yok etmek ve evde sadece 3 dakika 10 saniyede daha zinde hissedilmenin ipuçları yer almaktadır.;Bora Can Gökçe tarafından hazırlanan bu videoda, evde kaldığımız bu dönemde hareketlerimizin de azalması nedeniyle hissedeceğimiz tembellik ve de halsizlik duygusunu yok etmek ve evde sadece 3 dakika 10 saniyede daha zinde hissedilmenin ipuçları yer almaktadır. ;A;7;0-30 dk;Başlangıç
2;6 Adımda Daha Verimli Sanal Toplantılar;Sanal toplantılar oldukça pratiktir ama aynı zamanda  insanların dikkatinin dağılma olasılığı daha fazladır. Dikkat dağıldığında, toplantılarda odak kaybedilir ve daha fazla tekrar yapmak gerekir. Sanal toplantıların verimli geçebilmesi için izlemeniz gereken 6 adım bu eğitimde.;Sanal toplantılar oldukça pratiktir ama aynı zamanda  insanların dikkatinin dağılma olasılığı daha fazladır. Dikkat dağıldığında, toplantılarda odak kaybedilir ve daha fazla tekrar yapmak gerekir. Sanal toplantıların verimli geçebilmesi için izlemeniz gereken 6 adım bu eğitimde. ;A;10;0-30 dk;Başlangıç
3;Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler;Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler eğitimi, katılımcıların gerek iş dünyasında gerekse günlük hayatta başarılı olmaları için önemli becerileri öğrenmelerine yardımcı olmak için hazırlanmıştır. Bu eğitim programı, katılımcıların iş hayatlarında kendilerini profesyonel olarak geliştirmelerine ve kariyer hedeflerine ulaşmalarına yardımcı olacak becerileri öğrenmelerini hedeflemektedir. Eğitim sonunda katılımcılar, uzaktan çalışma, öz disiplin oluşturma, geri bildirim alma ve uyumlu beraberlik gibi kişisel gelişimlerine yardımcı olacak konularda bilgi edineceklerdir.;"Teknolojiye bağlılık hayatlarımıza ve sağlığımıza zarar vermeye başladı. Bu videoda dijital obezitenin tanımından, dijital obezitenin yol açtığı sorunlardan, dijital obezitenin belirtilerinden bahsedilmiştir. Pandemi ile birlikte ""uzaktan çalışma"" yaşamımızın bir parçası haline geldi ve birçok kurum tamamen uzaktan veya hibrit şekilde çalışmaya başladı. Bu videoda araştırma sonucunda bulunan uzaktan verimli çalışabilen insanların özellikleri aktarılmıştır. Uzaktan çalışırken uygulayacağınız küçük değişiklikler çalışmanızı daha verimli kılacaktır. Bu videoda uzaktan etkili ve verimli çalışabilmek için gerekli olan beş temel ilke aktarılmıştır. Uzaktan çalışmanın ve hibrit çalışma düzeninin iş hayatının bir parçası olması nedeniyle öz disiplin önemli bir konu haline geldi. Bu videoda sadece iş hayatı için değil, özellikle gençler için de hayatın bütününe yönelik temel ilkeleri anlatılmıştır. Ayrıca öz disiplin oluşturmanın öneminden ve öz disiplin oluşturmak için yapılması gereken adımlardan bahsedilmiştir. Zor durumları yönetebilen ve bu durumla başa çıkabilen insanlar psikolojik olarak daha sağlamdırlar. Psikolojik sağlamlık, zor deneyimlerden ve öngörülemez zorlayıcı olaylarla baş edebilme, uyum sağlayabilme, esneklik kullanabilme ve ilerleyebilme, zorlayıcı bir stres faktörü karşısında, olumsuz duygusal tecrübelere karşı kendini toparlayabilme ve iyileştirme gücü şeklinde tanımlanır. Bu videoda psikolojik sağlamlığın boyutları aktarılmıştır. Her insanın, başkalarının bildiği ama kendisinin bilmediği özellikleri vardır ve bu yüzden de insanlardan geri bildirim istemek çok önemlidir. Doğru verilen geri bildirimin birçok faydası vardır. Bu videoda sonunda geribildirim almanızı zorlaştıran nedenleri fark edecek ve artık geri bildirim alırken zorlanmayacaksınız. Geri bildirim almak çok önemlidir. Geri bildirimin nasıl verildiği ile değil, içeriği ile ilgilenmek gerekir. Bu videoda geribildirim almayı kolaylaştıran beş adım açıklanmıştır. Bu videoda narsist kişilerin başlıca özellikleri, narsist liderin yönetim tarzı ve insan ilişkilerinin nasıl olduğundan bahsedilmiştir. Uzun süreli bir beraberlik emek ve özen gerektirir, birlikte olgunlaşan insanların yapacağı sıkıcı olmayan ve yeni keşifler içeren bir yolculuğa dönüşür. Bu videoda uzun yıllar güçlenerek devam edecek olan bir beraberlik için dikkat edilmesi gereken incelikler aktarılmıştır. Uzun süreli bir beraberliğe başlarken temel koşul “karşısındakini olduğu gibi görmek ve olduğu gibi kabul etmek”tir. Bu videoda bir beraberliği sağlam temeller üzerine oturtmak için atılacak adımlar, aile kurarken dikkat edilecek konular aktarılmıştır. Toplum dinamiğinin, ilişkilerinin ve iş yapma biçiminin kökten değiştiği bir süreci yaşıyoruz ve uyum sağlıyoruz. Bu videoda ait hissetme duygusundan ve 21. yüzyılda kariyerini geliştirmek ve hayatını sürdürmek için öğrenmeye hevesli olmanın öneminden bahsedilmektedir.";A;56;30-60 dk;Başlangıç
4;Acar Baltaş ile Liderlik Yolculuğu;Liderlik, başkalarını etkileme becerisidir. İyi bir lider olmak için güvenilir olmak çok önemlidir. Bu video serimizde Acar Baltaş liderlik ile bilinmesi gerekenleri anlatıyor.;Son on yıl içinde liderlik ve yöneticilik konusunda dört önemli değişiklik oldu. Bu videoda liderlik konusunda değişen eğilimler anlatılmıştır. Geçmişte liderlerin güçlü hitabetleri ile etki yaratmaları beklenirdi.  İzleyeceğiniz videoda bir liderin daha farklı yollarla nasıl etki yaratacağı anlatılmaktadır. Açık ve şeffaf bir dünyada yaşadığımız için kendini olduğundan farklı gösteren yöneticiler itibar kaybetmektedir. Bu videoda otantik liderliğin özündeki nitelikler anlatılmaktadır. Savaşçı liderler etkilerini güçle sağlarlar. Bu videoda günümüzün genç çalışanlarının güç dışında yollarla yönetilerek etki sağlanabileceği anlatılmaktadır. Liderlik özelliğine sahip olmayan birçok kişi, kişisel illüzyonlarını vizyon gibi sunmaktadır. Bu videoda illüzyon ve vizyonu birbirinden ayıracak dört ölçüt anlatılmaktadır. Bir liderin niteliği baskı altında ortaya çıkar. Bu videoda liderliğin en temel özelliklerinden biri olan karar ve kararlılığın nasıl değerlendirileceği anlatılmaktadır. Liderlik konusunda çok sayıda yayın olduğu halde, kötü yöneticilik ve liderlik son derece yaygındır. Bu videoda başarısız liderliğe yol açan beş özellik sıralanmıştır. Liderlik konusunda çok sayıda yayın olduğu halde, kötü yöneticilik ve liderlik son derece yaygındır. Bu videoda başarılı liderlerin felaketine neden olan narsisizme odaklanılmıştır. Kurumların başarısının en önemli belirleyicisi en tepedeki yöneticisidir. Bu videoda bir liderin kurumun başarısını belirleyişindeki rolü anlatılmaktadır. Her insan farklıdır. Herkesin kabul ettiği bu klişe hayata ve ilişkilere yansımaz. Bu videoda farklı kişilik özelliklerinin yarattığı farklar anlatılmaktadır. Böylece, yöneticilerin birlikte çalıştıkları kişilerle ilgili gerçekçi beklentilere sahip olmaları gerektiği ortaya konmaktadır. Bu videoda, yönetim alanında son yıllarda en çok aşındırılan kavramlardan biri olan koçluğun sonuç vermediği üç durum anlatılmaktadır. İnsanları yönetmek onların değer dünyalarını ve gerçek yetkinliklerini bilmekle mümkündür. Birlikte uzun yıllar çalışmış olmak çok kere insanların sadece sosyal maskelerini tanımaya imkan verir. Bu videoda insanları daha derinlemesine tanımak için önemli ipuçları verilmektedir. İnsanların algısını kişilik özellikleri, değerleri ve geçmiş yaşantıları belirler. Bu videoda bütünüyle farklı bagajlara sahip insanların anlaşamamasına değil, anlaşmasına hayret etmek gerektiği anlatılmaktadır. Gücü elinde bulunduran insanların kusurları çevreleri tarafından meziyet gibi algılanır. Bu videoda hatalarından yanlış ders çıkaran insanlar anlatılmıştır. İnançlarımız sorgulamadığımız doğrulardan oluşur ve bunlar bazen bizim istemediğimiz sonuçlar doğurur. Bu video Türkiye'de yöneticilerin doğru olduğuna inanarak savundukları görüşlerden derlenmiştir. Zaman içinde liderlik anlayışı değişiklik göstermiştir. Bu videoda liderliğin özünde olan kültürden ve zamandan bağımsız beş özellik sıralanmıştır. Bazı tutum ve davranışlar birlikte çalışmayı kolaylaştırır, bazıları da zorlaştırır. Bu videoda ekip çalışmasını kolaylaştıran sekiz tutum ve davranış sıralanmıştır. Güven, soyut bir kavramdır. Ancak, bu videoda güvenin hızı etkileyerek maliyet üzerinde nasıl bir sonuç doğurduğu anlatılmaktadır. İnsan sosyal bir canlıdır. Bu videoda bir toplulukta yaşayan insanların iyi geçinme ve öne geçme ile ilgili dört temel özelliği anlatılmaktadır. Karizma liderlik konusunun en tartışmalı kavramlarından biridir. Sıradan görünümlü insanlar olağanüstü parlak insanlar ise felakete neden olan sonuçlar alabilirler. Bu videoda karizmanın aldatan cazibesi konu edilmektedir. Nereden kazanıldığı belli olmayan kişisel gelişim uzmanlığı ve motivasyon ticareti, ilgi toplayan ve ticari olarak büyük getiri sağlayan bir alan olmuştur. Bu videoda amatör ve ehliyetsiz psikologlar tarafından piyasaya sürülen ticarette motivasyon ve motivasyon ticareti konu edilmektedir. Bu videoda bir yöneticinin başarısının iki alandaki yeterliliğe bağlı olduğu anlatılmaktadır. Bunlardan birincisi sayı ve sonuçlarla, diğeri de ilişkilerinde yarattığı güvenle ilgili başarıdır. Yöneticilerin güven duygusu yaratması için birlikte çalıştıkları kişilerin değer verildiğini hissetmesi gerekir. Bu videoda çalışanların değerli hissetmelerinde rol oynayan dört temel yönetici davranışı anlatılmıştır. Toplumda özgüven çok önemsenir. Özgüven, başarı gibi bir dış değerlendirmeye bağlıdır. Oysa özsaygı dış değerlendirmeden bağımsızdır.  Hayatın en doğal parçası olan başarısızlık ancak özsaygısı yüksek insanlar tarafından gerçekçi olarak değerlendirilir. Güven, Türkçe'de birçok bağlam ve duruma bağlı olarak farklı anlamlar yüklenen ve tanımlanmakta zorluk çekilen bir kavramdır. Bu videoda güven konusunda anlayış birliği oluşturacak bir yaklaşım getirilmektedir. Bu videoda güvenin hayata yansımasının dört yolu anlatılmaktadır. Bu videoda güven duygusunu etkileyen ve hayata yansıma biçimini belirleyen altı özellik anlatılmaktadır. Bazı tutum ve davranışlar birlikte çalışmayı kolaylaştırır, bazıları da zorlaştırır. Bu videoda ekip çalışmasını zorlaştıran dokuz tutum ve davranış sıralanmıştır. Bu videoda insanları geliştirme ve yönetme süreci Bahçevan metaforu ile çok güçlü ve etkili bir şekilde anlatılmaktadır. Her insan girdiği ortamda bir enerji transferi yapar. Kimi gelirken, kimi giderken mutlu eder. Bu videoda, iyi liderlerin birlikte çalıştığı kişiler üzerinde yarattığı etki anlatılmaktadır. İyi bir yönetici, kendi mesleki kariyerini birlikte çalıştığı kişilere teslim ettiğinin bilincindedir. Bu videoda etkin bir ekip kurmanın temelini oluşturan dört özellik anlatılmıştır.;A;102;1-2 saat;İleri
6;Aday Belirlemeyi Tam On İkiden Vurmak;Organizasyonların karşılaştığı en önemli zorluklardan biri de kalifiye çalışanları işe almaktır. Son yıllarda yetenek kazanımı süreci, hem iş gücü piyasasındaki değişikliklerden hem de teknolojideki gelişmelerden kaynaklı bir değişime uğradı. Bu eğitimde, organizasyonunuzun ihtiyaçlarını karşılamak için gereken yetenekleri nasıl etkileyeceğinizi ve bunu gerçekleştirmek için aday belirleme tekniklerini nasıl kullanacağınızı öğreneceksiniz. Hem organizasyonun hem de potansiyel çalışanların ihtiyaçlarını nasıl ele alacağınızı göreceksiniz. Adaylar için bir işte neyin önemli olduğu bilgilerinden yola çıkarak  onları nasıl cezbedeceğinizi keşfedeceksiniz. Bu eğitim ayrıca, bir aday belirleme ve yetenek yönetimi stratejisi oluşturup uygulamanız için sizi hazırlamaktadır.;<div>Organizasyonların karşılaştığı en önemli zorluklardan biri de kalifiye çalışanları işe almaktır. Son yıllarda yetenek kazanımı süreci, hem işgücü piyasasındaki değişikliklerden hem de teknolojideki gelişmelerden kaynaklı bir değişime uğradı.<br /><br />Bu eğitimde, organizasyonunuzun ihtiyaçlarını karşılamak için gereken yetenekleri nasıl etkileyeceğinizi ve bunu gerçekleştirmek için aday belirleme tekniklerini nasıl kullanacağınızı öğreneceksiniz. Hem organizasyonun hem de potansiyel çalışanların ihtiyaçlarını nasıl ele alacağınızı öğreneceksiniz. Adaylar için bir işte neyin önemli olduğu bilgilerinden faydalanarak, onları nasıl cezbedeceğinizi keşfedeceksiniz. Bu eğitim ayrıca, bir aday belirleme ve yetenek yönetimi stratejisi oluşturup uygulamanız için sizi hazırlamaktadır.</div>;A;25;0-30 dk;Başlangıç
7;Aday Tarama: En İyileri İşe Almanın İlk Adımı;Yetenek yönetimi, işe doğru insanı almakla başlar. Aday tarama, çok fazla mesai gerektirir ve bu işlerin çoğu asıl mülakattan önce yapılır. Bu eğitim, bir adayın özgeçmişini etkili bir şekilde değerlendirmenize yardımcı olacak bir iş tanımını nasıl oluşturacağınızı içermektedir. Özgeçmişleri, iş gereksinimlerine göre taramaya yarayan temel teknikleri öğreneceksiniz. Ayrıca, özgeçmişlerdeki kırmızı bayrak sorunlarını nasıl tanımlayacağınızı ve onlara nasıl yaklaşacağınızı göreceksiniz. Bu teknikler, en iyi adayları belirlemenize ve işe almanıza yardımcı olacaktır.;<div>Yetenek yönetimi, işe doğru insanı almakla başlar. Aday tarama, çok fazla iş gerektirir ve bu işlerin çoğu asıl mülakattan önce yapılır.<br /><br />Bu eğitim, bir adayın özgeçmişini etkili bir şekilde değerlendirmenize yardımcı olacak bir iş tanımını nasıl oluşturacağınızı içermektedir. Özgeçmişleri, iş gereksinimlerine göre taramaya yarayan temel teknikleri öğreneceksiniz. Ayrıca, özgeçmişlerdeki kırmızı bayrak sorunlarını nasıl tanımlayacağınızı ve onlara nasıl yaklaşacağınızı öğreneceksiniz. Bu teknikler, en iyi adayları belirlemenize ve işe almanıza yardımcı olacaktır.</div>;A;21;0-30 dk;Başlangıç
8;Afet Sonrası Zihinsel Sağlık;Afet sonrası zihinsel sağlık süreci, afetlerin yol açtığı stres, kaygı, depresyon, travma sonrası stres bozukluğu ve diğer psikolojik sorunlarla başa çıkmak için uygulanan bir süreçtir. Bu süreç, afet sonrasında insanların zihinsel sağlıklarını korumalarına, iyileştirmelerine ve toplumsal dayanışma duygularını geliştirmelerine yardımcı olmayı amaçlar. Bu eğitim, insanların afet sonrasında yaşayabilecekleri kaygı, depresyon, travma sonrası stres bozukluğu gibi psikolojik sorunlarla başa çıkmalarına yardımcı olmak için tasarlanmıştır. Bu eğitimde amaç, afetlerin yol açtığı psikolojik etkilerle başa çıkmak için bireylerin bilinçlendirilmesi ve desteklenmesidir.;İnsanların kendisine ayırdığı bir denge ver enerji vardır. Bu dengenin şaştığı afet gibi durumlardan sonra çeşitli deneyimler yaşanmaktadır. Bu makro-travmayı sağaltamazsanız, post-travmatik stres bozukluğu ortaya çıkabilir. Bu videoda travma sonrası zihinsel sağlığı korumak için yapılması gerekenler vaka örnekleri ile aktarılmıştır. Zihinsel sağlığın da bir ilk yardımı vardır. Uzman olmasak da gün sonunda zihinsel sağlığın diyaloğunu etkin şekilde yapmaya ihtiyaç duyarız. Bu videoda bu tür bir diyaloğu nasıl başlatırız, nasıl sorular sorarız, nasıl dinleriz gibi sorulara cevap bulacaksınız. Ek olarak vaka üzerinden örnekler verilmiştir.;A;30;30-60 dk;Başlangıç
9;Afetlerin Yol Açtığı Zor Zamanlarda Yaşamak;Afetler, bireylerin hayatlarında beklenmedik ve ciddi değişikliklere neden olan doğal veya insan kaynaklı olaylardır. Bu olaylar, insanların güvenliklerini, sahip oldukları maddi ve manevi kaynakları, aileleri ve arkadaşlarıyla olan bağlarını, hatta hayatlarını kaybetmelerine yol açabilir. Bu nedenle, afetlerin psikolojik etkileri oldukça ciddi olabilir. Afetlere karşı hazırlıklı olmak, insanların afet sonrası oluşabilecek psikolojik etkilerle başa çıkmalarına yardımcı olabilir ve daha sağlam ve dayanıklı bir zihinsel sağlık durumu elde etmelerine yardımcı olabilir. Bu eğitimde yaşadığımız dönemin psikolojimize etkileri, bu süreçte stres yönetimi ve medya kullanımı gibi son derece önemli konular aktarılmıştır. Ayrıca eğitim sonunda yaşadığımız olumsuz duyguları nasıl anlamlı bir amaca çevirebiliriz, içinde bulunduğumuz koşullarda kendimizi daha iyi hissetmek için neler yapabiliriz konularında farkındalık sahibi olacaksınız.;Afetler, bireylerin hayatlarında beklenmedik ve ciddi değişikliklere neden olan doğal veya insan kaynaklı olaylardır. Bu olaylar, insanların güvenliklerini, sahip oldukları maddi ve manevi kaynakları, aileleri ve arkadaşlarıyla olan bağlarını, hatta hayatlarını kaybetmelerine yol açabilir. Bu nedenle, afetlerin psikolojik etkileri oldukça ciddi olabilir. Afetlere karşı hazırlıklı olmak, insanların afet sonrası oluşabilecek psikolojik etkilerle başa çıkmalarına yardımcı olabilir ve daha sağlam ve dayanıklı bir zihinsel sağlık durumu elde etmelerine yardımcı olabilir. Bu eğitimde yaşadığımız dönemin psikolojimize etkileri, bu süreçte stres yönetimi ve medya kullanımı gibi son derece önemli konular aktarılmıştır. Ayrıca eğitim sonunda yaşadığımız olumsuz duyguları nasıl anlamlı bir amaca çevirebiliriz, içinde bulunduğumuz koşullarda kendimizi daha iyi hissetmek için neler yapabiliriz konularında farkındalık sahibi olacaksınız.;A;19;0-30 dk;Başlangıç
10;Ağ Güvenlik Tehditleri ve Tehditlerin Etkileri;Organizasyonlar, gün geçtikçe sıkça meydana gelen çok yönlü ağ saldırılarına maruz kalmaktadır. IT güvenliğindeki önemli gelişmelere rağmen, hackerlar ve saldırganlar bazı bilgisayar ağlarındaki zafiyetlerden yararlanabilmekte ve büyük veri hırsızlıkları meydana gelmektedir. Bu eğitimde, hackerların önemli müşteri ya da işletme verilerine erişimlerini durdurmak için gerekli olan savunmanın önemini öğreneceksiniz. Ayrıca, organizasyonunuza yönelik bilgisayar ağ güvenlik tehditlerinin farklı türlerini, bunların nasıl önlenebileceğini ve bilgisayar güvenlik sisteminize sızma olması durumunda bunu nasıl tespit edeceğinizi keşfedeceksiniz.;Organizasyonlar, gün geçtikçe sıkça meydana gelen çok yönlü ağ saldırılarına maruz kalmaktadır. IT güvenliğindeki önemli gelişmelere rağmen, hackerlar ve saldırganlar bazı bigisayar ağlarındaki zafiyetlerden yararlanabilmekte ve büyük veri hırsızlıkları meydana gelmektedir.  Bu eğitimde, hackerların önemli müşteri ya da işletme verilerine erişimlerini durdurmak için gerekli olan savunmanın önemini öğreneceksiniz. Ayrıca, organizasyonunuza yönelik bilgisayar ağ güvenlik tehditlerinin farklı türlerini, bunların nasıl önlenebileceğini ve bilgisayar güvenlik sisteminize sızma olması durumunda bunu nasıl tespit edeceğinizi keşfedeceksiniz.;A;26;0-30 dk;İleri
11;Aksaklıkları Yoluna Koyan Bir Lider;"Aksaklıklar iş dünyasının yeni normali haline geldi ve bunları tehdit olarak algılayan bir lider hızla irtifa kaybedecektir. Bu derste keşfedilmemiş fırsatları gün ışığına çıkarmak için aksaklıklara karşı nasıl ""oyunbozan"" bir lider olacağınızı öğreneceksiniz. ";Aksaklıklar iş dünyasının yeni normali haline geldi ve bunları tehdit olarak algılayan bir lider hızla irtifa kaybedecektir. Bu derste keşfededilmemiş fırsatları gün ışığına çıkarmak için aksaklıklara karşı nasıl oyunbozan bir lider olacağınızı öğreneceksiniz. ;A;42;30-60 dk;İleri
